"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"338","005300","롯데칠성","KOSPI","음식료품",125500,-1000,-0.79,1126377936500
"339","005305","롯데칠성우","KOSPI","음식료품",62800,-200,-0.32,48689468000
"340","011170","롯데케미칼","KOSPI","화학",322000,1000,0.31,11036684918000
"341","002270","롯데푸드","KOSPI","음식료품",387500,3500,0.91,438599625000
"342","071840","롯데하이마트","KOSPI","유통업",37600,0,0,887649971200
"343","027740","마니커","KOSPI","음식료품",705,1,0.14,139923178770
"344","204320","만도","KOSPI","운수장비",62900,-1000,-1.56,2953602848000
"345","001080","만호제강","KOSPI","철강금속",18250,-200,-1.08,75737500000
"346","088980","맥쿼리인프라","KOSPI","기타금융",11100,-50,-0.45,4131336583500
"347","094800","맵스리얼티1","KOSPI","기타금융",4065,10,0.25,377371555515
"348","138040","메리츠금융지주","KOSPI","기타금융",12500,0,0,1675141175000
"349","008560","메리츠증권","KOSPI","증권",4050,30,0.75,2737644994350
"350","000060","메리츠화재","KOSPI","보험",17050,300,1.79,2056656250000
"351","090370","메타랩스","KOSPI","섬유의복",997,-13,-1.29,63498867189
"352","017180","명문제약","KOSPI","의약품",5550,50,0.91,188441669700
"353","009900","명신산업","KOSPI","운수장비",29500,-700,-2.32,1202984040000
"354","012690","모나리자","KOSPI","종이목재",4385,-45,-1.02,160364953175
"355","005360","모나미","KOSPI","유통업",4665,-60,-1.27,88155937155
"356","204210","모두투어리츠","KOSPI","서비스업",3105,-35,-1.11,24302260575
"357","009680","모토닉","KOSPI","운수장비",13150,-50,-0.38,4.3395e+11
